Paper ID,Publishable,Conference,Rationale
P085,1,tmlr,"The paper's topic overlaps moderately with TMLR. However, it may be more suitable for other conferences focusing on broader themes."
P086,0,na,na
P087,1,neurips,"The paper aligns well with NeurIPS, focusing on similar research areas such as neural networks, deep learning, reinforcement learning, AI algorithms. The methodology and findings are consistent with those commonly presented at NeurIPS."
P088,1,neurips,"The paper aligns well with NeurIPS, focusing on similar research areas such as neural networks, deep learning, reinforcement learning, AI algorithms. The methodology and findings are consistent with those commonly presented at NeurIPS."
P089,1,neurips,"The paper aligns well with NeurIPS, focusing on similar research areas such as neural networks, deep learning, reinforcement learning, AI algorithms. The methodology and findings are consistent with those commonly presented at NeurIPS."
P090,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P091,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P092,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P093,1,emnlp,"The paper's topic overlaps moderately with EMNLP. However, it may be more suitable for other conferences focusing on broader themes."
P094,0,na,na
P095,0,na,na
P096,0,na,na
P097,0,na,na
P098,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P099,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P100,1,emnlp,"The paper's topic overlaps moderately with EMNLP. However, it may be more suitable for other conferences focusing on broader themes."
P101,0,na,na
P102,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P103,1,emnlp,"The paper's topic overlaps moderately with EMNLP. However, it may be more suitable for other conferences focusing on broader themes."
P104,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P105,0,na,na
P106,0,na,na
P107,1,tmlr,"The paper's topic overlaps moderately with TMLR. However, it may be more suitable for other conferences focusing on broader themes."
P108,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P109,0,na,na
P110,1,emnlp,"The paper's topic overlaps moderately with EMNLP. However, it may be more suitable for other conferences focusing on broader themes."
P111,1,neurips,"The paper aligns well with NeurIPS, focusing on similar research areas such as neural networks, deep learning, reinforcement learning, AI algorithms. The methodology and findings are consistent with those commonly presented at NeurIPS."
P112,1,neurips,"The paper's topic overlaps moderately with NeurIPS. However, it may be more suitable for other conferences focusing on broader themes."
P113,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P114,0,na,na
P115,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P116,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P117,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P118,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P119,1,tmlr,"The paper's topic overlaps moderately with TMLR. However, it may be more suitable for other conferences focusing on broader themes."
P120,1,emnlp,"The paper's topic overlaps moderately with EMNLP. However, it may be more suitable for other conferences focusing on broader themes."
P121,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P122,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P123,1,emnlp,"The paper's topic overlaps moderately with EMNLP. However, it may be more suitable for other conferences focusing on broader themes."
P124,0,na,na
P125,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P126,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P127,1,neurips,"The paper's topic overlaps moderately with NeurIPS. However, it may be more suitable for other conferences focusing on broader themes."
P128,1,emnlp,"The paper's topic overlaps moderately with EMNLP. However, it may be more suitable for other conferences focusing on broader themes."
P129,1,tmlr,"The paper's topic overlaps moderately with TMLR. However, it may be more suitable for other conferences focusing on broader themes."
P130,0,na,na
P131,1,cvpr,"The paper's topic overlaps moderately with CVPR. However, it may be more suitable for other conferences focusing on broader themes."
P132,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P133,1,kdd,"The paper's topic overlaps moderately with KDD. However, it may be more suitable for other conferences focusing on broader themes."
P134,0,na,na
P135,1,neurips,"The paper aligns well with NeurIPS, focusing on similar research areas such as neural networks, deep learning, reinforcement learning, AI algorithms. The methodology and findings are consistent with those commonly presented at NeurIPS."
